,column,id
0,Vxx_it_psn,1
1,Vxx_mv_ti_ad_fac,2
2,Vxx_sens_lbdw_v,3
3,Vxx_sens_lbup_v,4
4,Vxx_cata_osc,5
5,Vxx_tdc_ctr,6
6,Vxx_it_psn_sp_reg,7
7,Vxx_vs,8
8,Vxx_acel_pdl_rat,9
9,Vxx_eal,10
10,Vxx_rich_mes,11
11,Vxx_gear,12
12,Vxx_trz_t_toth_3,13
13,Vxx_trz_t_toth_5,14
14,Vxx_trz_t_toth_0,15
15,Vxx_knk_tdc_ctr,16
16,Vxx_trz_t_toth_2,17
17,Vxx_trz_t_toth_1,18
18,Vxx_tco,19
19,Vxx_iga_appl,20
20,Vxx_trz_t_toth_4,21
21,Vxx_sb,22
22,Vxx_alt_v_sp,23
23,Vxx_ti_alco_cor,24
24,Vxx_in_vvtc_angl_mes,25
25,Vxx_arb_no_agb_tqe,26
26,Vxx_alco_ad_ctr,27
27,Vxx_ac_prs,28
28,Vxx_vb,29
29,Vxx_map,30
30,Vxx_mat,31
31,Vxx_lim_driv_tqe_tgt,32
32,Vxx_tia,33
33,Vxx_in_vvtc_angl_sp,34
34,Vxx_eem_alt_crt,35
35,Vxx_alt_pwm,36
36,Vxx_n,37
37,Vxx_eng_tql,38
38,Vxx_esti_tqe,39
39,Vxx_amp,40
40,Vxx_alt_pow,41
41,knks[1],42
42,Vxx_inj3_appl_ti1,43
43,Vxx_lim_driv_tqe_sp,44
44,knks[0],45
45,Vxx_inj1_appl_ti1,46
46,knks[3],47
47,Vxx_inj2_appl_ti1,48
48,Vxx_inj4_appl_ti1,49
49,knks[2],50
50,Vxx_tqi_sp,51
51,Vbx_igk,52
52,Vbx_raw_sens_bgin_clu_cnt,53
53,Vbx_ac_req,54
54,period_enum,55
55,Vxx_tqi_raw,56
56,Vxx_tqi_tgt,57
57,Vxx_knk_ctr,58
58,undefined_4160749575_69,59
59,undefined_4160749575_72,60
60,undefined_4160749575_73,61
61,undefined_4160749575_74,62
62,undefined_4160749575_75,63
63,undefined_4160749575_76,64
64,undefined_4160749575_77,65
65,undefined_4160749575_78,66
66,undefined_4160749575_79,67
67,undefined_4160749575_80,68
68,undefined_3835050276_3,69
69,undefined_3835050276_4,70
70,undefined_4160749575_83,71
71,undefined_4160749575_84,72
72,undefined_4160749575_85,73
73,undefined_4160749575_86,74
74,undefined_4160749575_87,75
75,undefined_4160749575_88,76
76,undefined_4160749575_89,77
77,undefined_4160749575_92,78
78,undefined_4160749575_93,79
79,undefined_4160749575_94,80
80,undefined_4160749575_95,81
81,undefined_4160749575_96,82
82,undefined_4160749575_97,83
83,undefined_4160749575_98,84
84,undefined_4160749575_99,85
85,undefined_4160749575_100,86
86,undefined_4160749575_102,87
87,undefined_4160749575_103,88
88,undefined_4160749575_104,89
89,undefined_4160749575_105,90
90,Vxx_min_iga,91
91,undefined_4160749575_107,92
92,Vxx_mis_tq_cor,93
93,undefined_4160749575_109,94
94,undefined_4160749575_111,95
95,undefined_3836889380_23,96
96,undefined_4160749575_113,97
97,undefined_4160749575_115,98
98,undefined_4160749575_116,99
99,undefined_4160749575_117,100
100,undefined_4160749575_120,101
101,undefined_4160749575_121,102
102,undefined_4160749575_122,103
103,undefined_4160749575_123,104
104,undefined_4160749575_124,105
105,undefined_4160749575_125,106
106,undefined_4160749575_126,107
107,undefined_4160749575_129,108
108,undefined_4160749575_130,109
109,undefined_4160749575_131,110
110,undefined_4160749575_132,111
111,undefined_4160749575_133,112
112,undefined_4160749575_134,113
113,undefined_4160749575_135,114
114,undefined_4160749575_136,115
115,undefined_4160749575_137,116
116,Vxx_knk_ctr_cyl_1,117
117,Vxx_knk_ctr_cyl_2,118
118,Vxx_knk_ctr_cyl_3,119
119,Sxx_mis_ctr,120
